"domain","division","category","brand","name","price","score","reviewCnt","image","link","weight","unit"
수산물/건해산,멸치/황태/노가리,황태,없음,[강릉상회] 국물이 시원한 북어채 (150g),11500,4.8,678,https://sitem.ssgcdn.com/06/32/38/item/1000633383206_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633383206&siteNo=7009&salestrNo=2551,150,g
수산물/건해산,멸치/황태/노가리,황태,없음,[강릉상회] 강원도 건조 산골 황태채 (200g),16500,4.7,312,https://sitem.ssgcdn.com/42/32/38/item/1000633383242_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000633383242&siteNo=7009&salestrNo=2551,200,g
수산물/건해산,멸치/황태/노가리,황태,없음,부드러운 손질 황태채 150g,12980,4.8,395,https://sitem.ssgcdn.com/82/58/01/item/1000582015882_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000582015882&siteNo=6001&salestrNo=2037,150,g
수산물/건해산,멸치/황태/노가리,황태,없음,황태채 400g,21980,4.7,1110,https://sitem.ssgcdn.com/33/06/79/item/1000551790633_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000551790633&siteNo=6001&salestrNo=2037,400,g
수산물/건해산,멸치/황태/노가리,먹태,청정원,안주夜 먹태열풍 청양데리야끼맛 50g,8480,4.6,431,https://sitem.ssgcdn.com/52/37/36/item/1000530363752_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000530363752&siteNo=6001&salestrNo=2037,50,g
수산물/건해산,멸치/황태/노가리,먹태,청정원,안주야 먹태열풍 청양데리야끼맛 (25g),6480,4.6,815,https://sitem.ssgcdn.com/91/06/19/item/1000632190691_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632190691&siteNo=7009&salestrNo=2551,25,g
수산물/건해산,멸치/황태/노가리,먹태,청정원,안주夜 먹태열풍 매콤불닭맛 50g,8480,4.8,164,https://sitem.ssgcdn.com/56/37/36/item/1000530363756_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000530363756&siteNo=6001&salestrNo=2037,50,g
수산물/건해산,멸치/황태/노가리,먹태,청해명가,전주 가맥스타일 통마리 먹태 슬라이스 (120g),10900,4.8,1700,https://sitem.ssgcdn.com/25/88/99/item/1000632998825_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632998825&siteNo=7009&salestrNo=2551,120,g
수산물/건해산,멸치/황태/노가리,먹태,청정원,안주야 먹태열풍 매콤불닭맛 (25g),6480,4.7,396,https://sitem.ssgcdn.com/04/82/31/item/1000632318204_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000632318204&siteNo=7009&salestrNo=2551,25,g
수산물/건해산,수산물세트,굴비세트,SSG정담,[SSG정담x금비][냉동]영광법성포 굴비세트 5호(굴비:10미 1.3kg이상/22~23cm내외),129000,4.8,543,https://sitem.ssgcdn.com/19/70/31/item/0000005317019_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=0000005317019&siteNo=6001&salestrNo=6005,1300,g
수산물/건해산,수산물세트,굴비세트,금비,[SSG정담][금비x어가찬]법성포 영광 굴비 프리미엄 선물세트,103550,4.7,3083,https://sitem.ssgcdn.com/92/97/22/item/1000472229792_i1_290.jpg,https://emart.ssg.com/item/dealItemView.ssg?itemId=1000472229792&siteNo=6001&salestrNo=6005,1500,g
수산물/건해산,수산물세트,굴비세트,프레시데이,영광 법성포 부세 보리굴비 가정용 (10미/왕특대/30~33cm),125000,0.0,0,https://sitem.ssgcdn.com/89/72/30/item/1000031307289_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000031307289&siteNo=6001&salestrNo=6005,1500,g
수산물/건해산,수산물세트,굴비세트,진심家,[냉동/냉장]영광법성포 굴비와 고추장굴비 2호(굴비 10미(1.0kg)+새싹보리 고추장굴비(100gx3)),89000,5.0,2,https://sitem.ssgcdn.com/97/42/70/item/1000023704297_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000023704297&siteNo=6001&salestrNo=6005,1300,g
수산물/건해산,수산물세트,굴비세트,SSG정담,[SSG정담x어가찬][냉동]법성포굴비세트 명품6호(10미/1.2kg)/21~22cm,109000,4.8,124,https://sitem.ssgcdn.com/59/88/03/item/1000013038859_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000013038859&siteNo=6001&salestrNo=6005,1200,g
수산물/건해산,수산물세트,갈치/고등어/옥돔세트,어가예찬,제주특선 은갈치/고등어살 모듬세트4호/은갈치(특대2마리)+고등어살(특대10팩),105000,0.0,0,https://sitem.ssgcdn.com/77/15/31/item/1000015311577_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000015311577&siteNo=6001&salestrNo=6005,300,g
수산물/건해산,수산물세트,갈치/고등어/옥돔세트,온도씨,[가정의 달]제주 은갈치 선물세트 2호 (은갈치 특대 4미),137000,5.0,1,https://sitem.ssgcdn.com/37/10/42/item/1000279421037_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000279421037&siteNo=6001&salestrNo=6005,400,g
수산물/건해산,수산물세트,갈치/고등어/옥돔세트,안동참간고등어,[이동삼]안동참간고등어세트 900g 2손(4마리),41900,5.0,2,https://sitem.ssgcdn.com/53/19/34/item/1000035341953_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000035341953&siteNo=6001&salestrNo=6005,900,g
수산물/건해산,수산물세트,갈치/고등어/옥돔세트,제주창해수산,[냉동] 프리미엄 제주 은갈치 옥돔 선물 세트,237500,4.4,5,https://sitem.ssgcdn.com/17/92/59/item/1000023599217_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000023599217&siteNo=6001&salestrNo=6005,400,g
수산물/건해산,수산물세트,갈치/고등어/옥돔세트,온도씨,[가정의 달]제주 옥돔 선물세트 2호 대 4마리(팩당 250g내외) [냉동],109000,0.0,0,https://sitem.ssgcdn.com/42/02/31/item/1000279310242_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000279310242&siteNo=6001&salestrNo=6005,250,g
수산물/건해산,수산물세트,반건조/참돔/민어/조기,친환경팔도,반건조 제수용 생선세트(참돔+민어+조기),55000,5.0,11,https://sitem.ssgcdn.com/44/13/40/item/1000279401344_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000279401344&siteNo=6001&salestrNo=6005,300,g
수산물/건해산,수산물세트,반건조/우럭,어업회사법인신안우럭,신안우럭 반건조 4호 3팩(마리당 :300~350g),59900,5.0,3,https://sitem.ssgcdn.com/99/16/11/item/1000023111699_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000023111699&siteNo=6001&salestrNo=6005,350,g
수산물/건해산,수산물세트,훈제연어,조선호텔앤리조트,[조선호텔] 훈제연어(훈제연어 140g x 3pk+소스 40g x 2pk),39800,5.0,3,https://sitem.ssgcdn.com/65/75/48/item/1000558487565_i1_290.jpg,https://emart.ssg.com/item/itemView.ssg?itemId=1000558487565&siteNo=6001&salestrNo=6005,420,g
